aud_id,rev_type,gid,methn,gnpgs,gpid1,gpid2,created_by,lgid,glocn,gdate,gref,grplce,mgid,cid,sid,gchange,deleted,germplsm_uuid,modified_by,created_date,modified_date
88,0,60629,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G2n9vpaC9,NULL,2022-07-11 09:58:13,NULL
89,0,60630,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GUK7xHCTw,NULL,2022-07-11 09:58:13,NULL
90,0,60631,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G6esuRAPO,NULL,2022-07-11 09:58:13,NULL
91,0,60632,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GLlkxNfo3,NULL,2022-07-11 09:58:13,NULL
92,0,60633,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GERMFAgnW,NULL,2022-07-11 09:58:13,NULL
93,0,60634,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GswsEonbg,NULL,2022-07-11 09:58:13,NULL
94,0,60635,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GpsTDXf2m,NULL,2022-07-11 09:58:13,NULL
95,0,60636,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GIdutrXyT,NULL,2022-07-11 09:58:13,NULL
96,0,60637,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GWxFXlPaI,NULL,2022-07-11 09:58:13,NULL
97,0,60638,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GYis20WkC,NULL,2022-07-11 09:58:13,NULL
98,0,60639,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GBib7N2T7,NULL,2022-07-11 09:58:13,NULL
99,0,60640,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G7fYQImmO,NULL,2022-07-11 09:58:13,NULL
100,0,60641,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G41mxSIjF,NULL,2022-07-11 09:58:13,NULL
101,0,60642,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Gt8Wx1zR2,NULL,2022-07-11 09:58:13,NULL
102,0,60643,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G2XvwjktY,NULL,2022-07-11 09:58:13,NULL
103,0,60644,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Gvv0zFzvl,NULL,2022-07-11 09:58:13,NULL
104,0,60645,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G2kollgYQ,NULL,2022-07-11 09:58:13,NULL
105,0,60646,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GvdjgaepU,NULL,2022-07-11 09:58:13,NULL
106,0,60647,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GGtWQHnJD,NULL,2022-07-11 09:58:13,NULL
107,0,60648,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GKRmKLJ4M,NULL,2022-07-11 09:58:13,NULL
108,0,60649,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GsxLf37AZ,NULL,2022-07-11 09:58:13,NULL
109,0,60650,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GQBGQsp6H,NULL,2022-07-11 09:58:13,NULL
110,0,60651,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G6f1ocWjd,NULL,2022-07-11 09:58:13,NULL
111,0,60652,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Gc02aO6ZR,NULL,2022-07-11 09:58:13,NULL
112,0,60653,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G64f6qTt6,NULL,2022-07-11 09:58:13,NULL
113,0,60654,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GbQnqin9F,NULL,2022-07-11 09:58:13,NULL
114,0,60655,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GSx6sj0oV,NULL,2022-07-11 09:58:13,NULL
115,0,60656,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GmDNFfYH3,NULL,2022-07-11 09:58:13,NULL
116,0,60657,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GvakV8RJV,NULL,2022-07-11 09:58:13,NULL
117,0,60658,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Gn5avsi33,NULL,2022-07-11 09:58:13,NULL
118,0,60659,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GjGhU7DQA,NULL,2022-07-11 09:58:13,NULL
