cvterm_relationship_id,type_id,subject_id,object_id
8718,1105,1430,1090
8719,1225,1430,1340
8720,1105,1440,1090
8721,1225,1440,1340
8722,1105,1450,1090
8723,1225,1450,1340
1112,1225,1460,1045
1125,1105,1460,1090
1126,1105,1470,1090
1113,1225,1470,1460
1127,1105,1480,1090
1114,1225,1480,1460
1128,1105,1490,1090
1115,1225,1490,1480
1129,1105,1510,1090
1116,1225,1510,1480
1130,1105,1520,1090
1117,1225,1520,1460
1131,1105,1530,1090
1118,1225,1530,1520
1132,1105,1540,1090
1119,1225,1540,1520
1133,1105,1550,1090
1120,1225,1550,1520
1134,1105,1560,1090
1121,1225,1560,1470
1135,1105,1570,1090
1122,1225,1570,1470
1136,1105,1580,1090
1123,1225,1580,1470
1137,1105,1590,1090
1124,1225,1590,1470
2460,1225,1600,1001
2450,1105,1600,1090
2470,1105,1610,1090
2480,1225,1610,1600
2490,1105,1620,1090
2500,1225,1620,1600
2510,1225,1630,1001
2505,1105,1630,1090
2515,1225,1700,1630
2516,1225,1701,1630
2517,1225,1702,1630
2518,1225,1703,1630
2519,1225,1704,1630
2520,1225,1705,1630
2521,1225,1706,1630
2522,1225,1707,1630
2523,1225,1708,1630
2524,1225,1709,1630
2525,1225,1711,1630
2526,1225,1712,1630
2527,1225,1713,1630
2528,1225,1714,1630
2529,1225,1715,1630
2530,1225,1716,1630
2531,1225,1717,1630
2532,1225,1718,1630
2533,1225,1719,1630
2534,1225,1720,1630
2535,1225,1721,1630
2536,1225,1722,1630
2537,1225,1723,1630
2538,1225,1724,1630
2539,1225,1725,1630
2540,1225,1726,1630
2541,1225,1727,1630
2542,1225,1728,1630
2543,1225,1729,1630
2544,1225,1730,1630
2545,1225,1800,1630
22046,1105,1901,1131
22047,1105,1902,1131
22048,1105,1903,1132
22049,1105,1904,1132
22050,1105,1905,1134
22051,1105,1906,1134
22052,1105,1907,1135
22053,1105,1908,1135
22054,1105,1909,1136
22055,1105,1910,1136
23704,1105,1911,1120
23705,1105,1912,1120
23706,1105,1913,1120
23707,1105,1914,1120
1200,1225,2000,1050
22033,1225,2002,1050
22034,1225,2002,1055
1202,1225,2002,1086
1210,1225,2010,1050
1220,1225,2012,1050
1230,1225,2014,1050
8707,1225,2015,1050
1240,1225,2020,1055
1241,1225,2030,1055
1245,1225,2040,1050
1516,1225,2045,1050
1250,1225,2050,1050
1260,1225,2052,1050
1252,1225,2053,1080
1270,1225,2054,1080
1280,1225,2056,1080
1290,1225,2058,1080
1300,1225,2060,1080
1305,1225,2065,8580
1310,1225,2070,1050
22035,1225,2080,1050
1320,1225,2080,1080
22043,1225,2080,1300
1330,1225,2090,1050
1340,1225,2100,1080
22044,1225,2100,1300
1350,1225,2105,1050
1360,1225,2110,1080
1370,1225,2120,1100
1380,1225,2122,1080
1390,1225,2123,1080
22036,1225,2123,1100
1400,1225,2124,1080
1410,1225,2126,1080
1420,1225,2128,1080
1430,1225,2129,1080
1440,1225,2130,1100
1450,1225,2140,1100
8992,1225,2141,1100
8993,1225,2142,1100
8994,1225,2143,1100
8995,1225,2144,1100
8996,1225,2145,1100
8997,1225,2146,1100
8998,1225,2147,1100
8999,1225,2148,1100
9000,1225,2149,1100
1460,1225,2150,1100
9001,1225,2151,1100
9002,1225,2152,1100
9019,1225,2153,1100
9020,1225,2154,1100
9021,1225,2155,1100
1470,1225,2160,1100
1480,1225,2170,1100
1490,1225,2180,1100
1500,1225,2182,1100
1510,1225,2190,1100
19341,1225,2191,1080
1520,1225,2200,1087
9088,1225,2204,1087
1530,1225,2205,1087
1535,1225,2206,1087
1540,1225,2207,1087
1550,1225,2208,1087
1555,1225,2209,1087
1560,1225,2210,1340
1570,1225,2220,1300
1580,1225,2230,1300
1590,1225,2240,1300
1600,1225,2250,1300
