locid,llpn,lat,lon,alt,llsource,ll_fmt,ll_datum,ll_uncert,llref,lldate,lluid
1012,1,34.905556,69.741667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1015,1,33.833333,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1016,1,34.75,70.833333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1017,1,30.5,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1018,1,33.25,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1020,1,35.25,69.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1021,1,31,65.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1022,1,36.75,68.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1023,1,36.5,69.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1024,1,34.25,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1025,1,32,67.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1026,1,32.416667,68.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1027,1,36.833333,67.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1028,1,37,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1029,1,36,67.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1030,1,35.833333,66.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1057,1,36.75,3.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1058,1,35.5,5.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1059,1,36.333333,6.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1060,1,36.083333,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1061,1,36,0.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1062,1,35.666667,-0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1063,1,34.666667,0.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1064,1,36.166667,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1065,1,34.916667,1.583333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1066,1,36.75,4.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1067,1,34.666667,-1.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1068,1,36.666667,4.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
