HH_Id,Last_Seasn_OwnWSeed_M,SL_No_M,Variety_Name_M,Store_Seperate_M,Seed_Storage_Place_M,Seed_Storage_Place_Othr_M,Seed_Storage_Prob_M,Seed_Storage_Prob_Othr_M,Seed_Disease_Prob_M,Seed_Disease_Prob_M,Seed_Replace_freq_M,SeedVar_Unique_Chara_M,SeedVar_Unique_Chara_Othr_M,Additional_Variety_M
1164,0,, ,,, ,, ,, ,,, ,
1165,1,1,DENDA'A,0,1, ,1, ,1, ,1,1, ,2
1166,1,1,DEANDEA,1,1, ,3, ,1, ,1,1, ,2
1167,1,1,DEANDEA,1,1, ,1, ,1, ,1,1, ,2
1168,1,1,DANDAA,0,2, ,1, ,1, ,4,1, ,2
1169,0,, ,,, ,, ,, ,,, ,
1170,1,1,DENDA'A,0,1, ,1, ,1, ,1,2, ,2
1171,1,1,DEANDEA,1,3, ,1, ,1, ,1,1, ,2
1174,0,, ,,, ,, ,, ,,, ,
1253,0,, ,,, ,, ,, ,,, ,
1254,0,, ,,, ,, ,, ,,, ,
1255,0,, ,,, ,, ,, ,,, ,
1257,,, ,,, ,, ,, ,,, ,
1258,0,, ,,, ,, ,, ,,, ,
1259,,, ,,, ,, ,, ,,, ,
1260,0,, ,,, ,, ,, ,,, ,
1261,,, ,,, ,, ,, ,,, ,
1262,1,1,KEKEBA,1,1, ,1, ,1, ,3,1, ,2
1263,1,1,KEKEBA,1,1, ,1, ,2, ,3,8, ,2
1264,,, ,,, ,, ,, ,,, ,
1265,0,, ,,, ,, ,, ,,, ,
1266,0,, ,,, ,, ,, ,,, ,
1267,0,, ,,, ,, ,, ,,, ,
1268,1,1,PAVEL,1,1, ,1, ,1, ,3,1, ,2
1269,1,1,KEKEBA,1,1, ,1, ,1, ,3,1, ,2
1336,1,1,KAKABA,1,1, ,4, ,1, ,1,1, ,2
1337,1,1,KAKABA,1,1, ,3, ,1, ,1,1, ,2
1339,1,1,KEKEBA,1,1, ,1, ,1, ,1,1, ,2
1340,1,1,KEKEBA,1,1, ,1, ,1, ,1,1, ,2
1341,,, ,,, ,, ,, ,,, ,
1342,1,1,DEANDEA,1,1, ,3, ,1, ,1,1, ,2
1416,0,, ,,, ,, ,, ,,, ,
1418,,, ,,, ,, ,, ,,, ,
1420,0,, ,,, ,, ,, ,,, ,
1421,,, ,,, ,, ,, ,,, ,
1424,1,1,OBSA,1,1, ,1, ,1, ,1,1, ,2
1425,1,1,LEGAM,1,1, ,1, ,1, ,1,1, ,2
1430,0,, ,,, ,, ,, ,,, ,
1431,1,1,MISOMA,0,1, ,1, ,1, ,1,1, ,2
1433,0,, ,,, ,, ,, ,,, ,
1453,1,1,SHORIMA,1,1, ,4, ,3, ,1,4, ,2
1454,1,1,komachare,1,1, ,1, ,1, ,1,1, ,2
1455,1,1,Hidase,1,1, ,1, ,1, ,1,8, ,2
1456,0,, ,,, ,, ,, ,,, ,
1458,1,1,SHORIMA,1,1, ,4, ,2, ,1,1, ,2
1459,1,1,SHORIMA,1,1, ,1, ,1, ,1,1, ,2
1460,1,1,LELISE,1,1, ,3, ,1, ,1,3, ,2
1461,1,1,Hidase,1,1, ,1, ,1, ,1,1, ,2
1462,,, ,,, ,, ,, ,,, ,
1463,0,, ,,, ,, ,, ,,, ,
1464,,, ,,, ,, ,, ,,, ,
1465,1,1,HIDASE,1,1, ,1, ,1, ,1,1, ,2
1466,1,1,SHORIMA,1,1, ,4, ,3, ,1,4, ,2
1512,,, ,,, ,, ,, ,,, ,
1514,1,1,MISOMA,1,1, ,1, ,1, ,1,1, ,2
1515,1,1,MOSOMA,1,1, ,4, ,1, ,1,3, ,2
1516,0,, ,,, ,, ,, ,,, ,
1517,1,1,OBSA,1,1, ,1, ,1, ,1,8, ,2
1518,1,1,KING BIRD,1,1, ,3, ,1, ,1,4, ,2
1521,1,1,MISOMA,1,1, ,1, ,1, ,1,3, ,2
1522,1,1,MISOMA,1,1, ,1, ,1, ,1,4, ,2
1525,1,1,MISOMA,1,1, ,1, ,1, ,1,1, ,2
1526,1,1,MISOMA,1,1, ,4, ,1, ,1,1, ,2
1527,1,1,DENDA'A,0,1, ,1, ,1, ,1,1, ,2
1528,1,1,MISOMA,1,1, ,1, ,1, ,1,1, ,2
1529,0,, ,,, ,, ,, ,,, ,
1530,0,, ,,, ,, ,, ,,, ,
1531,1,1,OBSA,1,1, ,1, ,1, ,1,1, ,2
1533,0,, ,,, ,, ,, ,,, ,
1534,0,, ,,, ,, ,, ,,, ,
1535,1,1,KEKEBA,1,1, ,1, ,1, ,2,1, ,2
1536,0,, ,,, ,, ,, ,,, ,
1539,0,, ,,, ,, ,, ,,, ,
1540,0,, ,,, ,, ,, ,,, ,
1542,1,1,Kakaba,1,1, ,1, ,1, ,1,1, ,2
1543,1,1,KUBSA,1,1, ,1, ,1, ,3,1, ,2
1545,1,1,Kakaba,1,1, ,1, ,1, ,1,1, ,2
1546,1,1,KEKEBA,1,1, ,1, ,1, ,3,1, ,2
1548,1,1,KEKEBA,1,1, ,1, ,1, ,3,1, ,2
1549,1,1,Kakaba,1,1, ,1, ,1, ,1,1, ,2
1551,1,1,KEKEBA,1,1, ,1, ,1, ,3,1, ,2
1552,1,1,Kakaba,1,1, ,1, ,1, ,1,1, ,2
1553,1,1,KEKEBA,1,1, ,1, ,1, ,3,1, ,2
1554,0,, ,,, ,, ,, ,,, ,
1556,,, ,,, ,, ,, ,,, ,
1580,1,1,Kakaba,1,1, ,1, ,1, ,1,1, ,2
1581,0,, ,,, ,, ,, ,,, ,
1582,1,1,KEKEBA,1,1, ,1, ,1, ,3,1, ,2
1583,0,, ,,, ,, ,, ,,, ,
1585,1,1,DENDEA,1,1, ,1, ,1, ,4,2, ,2
1586,1,1,Kakaba,1,1, ,1, ,1, ,1,1, ,2
1587,1,1,Kakaba,1,1, ,1, ,1, ,1,1, ,2
1589,1,1,Kakaba,1,1, ,1, ,1, ,1,1, ,2
1590,1,1,Kakaba,1,1, ,1, ,1, ,1,1, ,2
1591,0,, ,,, ,, ,, ,,, ,
1593,0,, ,,, ,, ,, ,,, ,
1611,1,1,KUBSA,1,1, ,1, ,1, ,2,1, ,2
1612,1,1,KEKEBA,0,1, ,3, ,1, ,3,1, ,2
1614,0,, ,,, ,, ,, ,,, ,
1615,0,, ,,, ,, ,, ,,, ,
1616,0,, ,,, ,, ,, ,,, ,
1620,1,1,Kakaba,1,1, ,3, ,1, ,1,1, ,2
1622,0,, ,,, ,, ,, ,,, ,
1623,1,1,KUBSSA,1,1, ,3, ,1, ,2,3, ,2
1624,0,, ,,, ,, ,, ,,, ,
1626,,, ,,, ,, ,, ,,, ,
