HH_Id,Info_Src_Name,Info_Access_Yn,NoInfo_Access_Rsn,NoInfo_Access_Rsn_Othr,Info_Access_Decision
1994,3,3,1, ,
1994,4,3,1, ,
1994,5,3,1, ,
1994,6,3,1, ,
1995,1,2,, ,5
1995,2,3,1, ,
1995,3,3,2, ,
1995,4,3,2, ,
1995,5,3,1, ,
1995,6,3,3, ,
1996,1,1,, ,2
1996,2,1,, ,2
1996,3,1,, ,2
1996,4,1,, ,2
1996,5,1,, ,2
1996,6,1,, ,2
1997,1,3,1, ,
1997,2,3,1, ,
1997,3,3,1, ,
1997,4,3,1, ,
1997,5,3,1, ,
1997,6,3,1, ,
1999,1,2,, ,5
1999,2,3,1, ,
1999,3,2,, ,5
1999,4,3,1, ,
1999,5,3,1, ,
1999,6,3,2, ,
2000,1,1,, ,2
2000,2,3,3, ,
2000,3,1,, ,2
2000,4,3,2, ,
2000,5,3,2, ,
2000,6,3,3, ,
2020,1,3,1, ,
2020,2,3,1, ,
2020,3,3,1, ,
2020,4,3,1, ,
2020,5,2,, ,1
2020,6,3,1, ,
2021,1,2,, ,5
2021,2,2,, ,1
2021,3,1,, ,5
2021,4,3,3, ,
2021,5,2,, ,5
2021,6,3,3, ,
2023,1,1,, ,2
2023,2,1,, ,2
2023,3,1,, ,2
2023,4,3,3, ,
2023,5,3,2, ,
2023,6,3,3, ,
2025,1,1,, ,2
2025,2,3,1, ,
2025,3,3,1, ,
2025,4,3,3, ,
2025,5,3,2, ,
2025,6,3,3, ,
2026,1,1,, ,2
2026,2,1,, ,2
2026,3,1,, ,2
2026,4,1,, ,2
2026,5,1,, ,2
2026,6,1,, ,2
2027,1,1,, ,1
2027,2,1,, ,1
2027,3,1,, ,1
2027,4,3,1, ,
2027,5,1,, ,1
2027,6,3,1, ,
2031,1,1,, ,2
2031,2,1,, ,2
2031,3,1,, ,2
2031,4,1,, ,2
2031,5,1,, ,2
2031,6,1,, ,2
2032,1,1,, ,2
2032,2,1,, ,2
2032,3,1,, ,2
2032,4,1,, ,2
2032,5,1,, ,2
2032,6,1,, ,2
2033,1,2,, ,2
2033,2,3,2, ,
2033,3,3,2, ,
2033,4,3,1, ,
2033,5,3,2, ,
2033,6,3,2, ,
2085,1,2,, ,5
2085,2,3,1, ,
2085,3,3,1, ,
2085,4,3,1, ,
2085,5,3,1, ,
2085,6,3,1, ,
2086,1,1,, ,2
2086,2,1,, ,2
2086,3,1,, ,2
2086,4,1,, ,2
2086,5,1,, ,2
2086,6,1,, ,2
2088,1,1,, ,5
2088,2,1,, ,5
2088,3,1,, ,5
2088,4,1,, ,5
2088,5,1,, ,5
2088,6,1,, ,5
2089,1,1,, ,2
2089,2,3,3, ,
2089,3,1,, ,2
2089,4,3,2, ,
2089,5,3,2, ,
2089,6,3,3, ,
2093,1,1,, ,2
2093,2,3,3, ,
2093,3,1,, ,2
2093,4,3,2, ,
2093,5,3,3, ,
2093,6,3,3, ,
2094,1,1,, ,1
2094,2,1,, ,1
2094,3,3,6, ,
2094,4,3,2, ,
2094,5,3,6, ,
2094,6,3,5, ,
2095,1,2,, ,5
2095,2,3,6, ,
2095,3,3,5, ,
2095,4,3,2, ,
2095,5,3,2, ,
2095,6,3,6, ,
2096,1,3,2, ,
2096,2,3,2, ,
2096,3,2,, ,5
2096,4,3,2, ,
2096,5,3,2, ,
2096,6,3,2, ,
2097,1,2,, ,5
2097,2,3,2, ,
2097,3,2,, ,5
2097,4,99,, ,
2097,5,3,2, ,
2097,6,2,, ,5
2098,1,3,6, ,
2098,2,3,6, ,
2098,3,3,6, ,
2098,4,3,1, ,
2098,5,3,1, ,
2098,6,3,1, ,
2099,1,2,, ,5
2099,2,3,1, ,
2099,3,2,, ,5
2099,4,3,1, ,
2099,5,3,1, ,
2099,6,3,1, ,
4001,1,1,, ,1
4001,2,1,, ,1
4001,3,2,, ,1
4001,4,99,, ,
4001,5,1,, ,1
4001,6,99,, ,
4002,1,1,, ,2
4002,2,1,, ,2
4002,3,1,, ,2
4002,4,1,, ,2
4002,5,1,, ,2
4002,6,3,4, ,
4003,1,2,, ,5
4003,2,99,, ,
