HH_Id,Info_Src_Name_M,Info_Access_Yn_M,NoInfo_Access_Rsn_M,NoInfo_Access_Rsn_Othr_M,Info_Access_Decision_M
1379,5,2,, ,1
1379,6,3,2, ,
1380,1,2,, ,1
1380,2,2,, ,1
1380,3,3,1, ,
1380,4,3,1, ,
1380,5,3,1, ,
1380,6,3,1, ,
1381,,,, ,
1382,1,1,, ,2
1382,2,1,, ,1
1382,3,1,, ,2
1382,4,3,1, ,
1382,5,3,2, ,
1382,6,3,3, ,
1383,1,1,, ,1
1383,2,3,1, ,
1383,3,3,1, ,
1383,4,3,2, ,
1383,5,3,1, ,
1383,6,3,1, ,
1385,1,1,, ,3
1385,2,1,, ,3
1385,3,1,, ,3
1385,4,99,, ,
1385,5,1,, ,3
1385,6,99,, ,
1386,1,1,, ,1
1386,2,1,, ,1
1386,3,1,, ,1
1386,4,99,, ,
1386,5,99,, ,
1386,6,99,, ,
1387,1,1,, ,1
1387,2,1,, ,1
1387,3,1,, ,1
1387,4,3,1, ,
1387,5,3,2, ,
1387,6,3,3, ,
1388,1,1,, ,1
1388,2,1,, ,5
1388,3,3,3, ,
1388,4,3,3, ,
1388,5,3,3, ,
1388,6,3,3, ,
1390,1,1,, ,1
1390,2,1,, ,1
1390,3,99,, ,
1390,4,99,, ,
1390,5,99,, ,
1390,6,99,, ,
1391,,,, ,
1393,1,1,, ,3
1393,2,2,, ,3
1393,3,3,1, ,
1393,4,3,1, ,
1393,5,3,1, ,
1393,6,3,1, ,
1394,1,3,1, ,
1394,2,3,1, ,
1394,3,3,1, ,
1394,4,3,1, ,
1394,5,3,1, ,
1394,6,3,1, ,
1396,1,3,1, ,
1396,2,3,1, ,
1396,3,1,, ,1
1396,4,3,1, ,
1396,5,3,1, ,
1396,6,3,1, ,
1397,1,2,, ,1
1397,2,3,1, ,
1397,3,3,1, ,
1397,4,3,1, ,
1397,5,3,1, ,
1397,6,3,1, ,
1398,1,1,, ,1
1398,2,1,, ,1
1398,3,1,, ,1
1398,4,99,, ,
1398,5,1,, ,1
1398,6,99,, ,
1399,1,1,, ,2
1399,2,2,, ,1
1399,3,1,, ,2
1399,4,3,1, ,
1399,5,3,2, ,
1399,6,3,3, ,
1400,1,1,, ,2
1400,2,1,, ,2
1400,3,1,, ,2
1400,4,3,2, ,
1400,5,3,2, ,
1400,6,3,3, ,
1502,1,1,, ,1
1502,2,3,1, ,
1502,3,1,, ,1
1502,4,3,2, ,
1502,5,2,, ,1
1502,6,3,1, ,
1504,,,, ,
1505,1,1,, ,2
1505,2,1,, ,2
1505,3,1,, ,2
1505,4,3,3, ,
1505,5,3,3, ,
1505,6,3,3, ,
1506,1,1,, ,2
1506,2,1,, ,2
1506,3,1,, ,2
1506,4,3,1, ,
1506,5,3,2, ,
1506,6,3,3, ,
1507,1,1,, ,1
1507,2,3,2, ,
1507,3,2,, ,1
1507,4,3,2, ,
1507,5,2,, ,1
1507,6,3,1, ,
1508,1,2,, ,1
1508,2,2,, ,1
1508,3,2,, ,1
1508,4,3,1, ,
1508,5,3,1, ,
1508,6,3,1, ,
1509,1,1,, ,1
1509,2,1,, ,1
1509,3,3,3, ,
1509,4,3,1, ,
1509,5,3,2, ,
1509,6,3,1, ,
1559,1,1,, ,2
1559,2,3,3, ,
1559,3,1,, ,2
1559,4,3,3, ,
1559,5,3,3, ,
1559,6,3,3, ,
1561,1,1,, ,2
1561,2,1,, ,1
1561,3,1,, ,2
1561,4,3,3, ,
1561,5,3,3, ,
1561,6,3,2, ,
1562,1,2,, ,1
1562,2,2,, ,1
1562,3,3,5, ,
1562,4,3,1, ,
1562,5,1,, ,1
1562,6,3,1, ,
1563,1,1,, ,1
1563,2,1,, ,1
1563,3,3,1, ,
1563,4,3,1, ,
1563,5,3,1, ,
1563,6,3,1, ,
1895,1,2,, ,1
1895,2,3,2, ,
1895,3,3,1, ,
1895,4,3,1, ,
1895,5,3,6, ,
1895,6,3,1, ,
1897,1,1,, ,1
1897,2,1,, ,1
1897,3,1,, ,1
1897,4,99,, ,
1897,5,1,, ,1
1897,6,99,, ,
1899,1,2,, ,1
1899,2,2,, ,1
1899,3,3,1, ,
1899,4,3,1, ,
1899,5,3,1, ,
1899,6,3,1, ,
1923,1,1,, ,1
1923,2,1,, ,1
1923,3,1,, ,1
1923,4,3,1, ,
1923,5,1,, ,1
1923,6,3,1, ,
1925,1,2,, ,1
1925,2,3,1, ,
1925,3,2,, ,1
1925,4,3,1, ,
1925,5,3,1, ,
1925,6,3,1, ,
1926,1,1,, ,1
1926,2,3,1, ,
1926,3,3,1, ,
1926,4,3,1, ,
1926,5,1,, ,1
1926,6,3,2, ,
1930,1,1,, ,5
1930,2,3,3, ,
1930,3,2,, ,5
1930,4,3,2, ,
1930,5,1,, ,1
1930,6,1,, ,5
1931,1,1,, ,5
1931,2,3,2, ,
1931,3,1,, ,1
1931,4,3,2, ,
1931,5,3,2, ,
1931,6,3,6, ,
1932,1,1,, ,2
1932,2,1,, ,1
1932,3,1,, ,2
1932,4,3,2, ,
1932,5,3,2, ,
1932,6,3,3, ,
1933,1,1,, ,2
1933,2,1,, ,1
1933,3,1,, ,2
1933,4,3,2, ,
1933,5,3,3, ,
1933,6,3,3, ,
1934,1,1,, ,1
1934,2,1,, ,1
1934,3,1,, ,1
1934,4,1,, ,1
1934,5,1,, ,1
1934,6,3,1, ,
1935,1,1,, ,1
1935,2,1,, ,1
1935,3,1,, ,1
1935,4,1,, ,1
1935,5,1,, ,1
1935,6,3,1, ,
1936,,,, ,
1938,1,2,, ,1
1938,2,3,1, ,
1938,3,2,, ,5
1938,4,3,1, ,
1938,5,3,4, ,
1938,6,3,1, ,
1942,,,, ,
1944,1,1,, ,1
1944,2,2,, ,1
1944,3,1,, ,1
1944,4,3,3, ,
1944,5,1,, ,1
1944,6,3,6, ,
1945,1,1,, ,1
1945,2,1,, ,1
1945,3,1,, ,1
1945,4,1,, ,1
1945,5,1,, ,1
1945,6,3,4, ,
1947,1,1,, ,1
1947,2,2,, ,1
1947,3,3,1, ,
1947,4,3,2, ,
1947,5,3,2, ,
1947,6,3,6, ,
1949,1,1,, ,1
1949,2,1,, ,1
1949,3,1,, ,2
1949,4,3,2, ,
1949,5,1,, ,2
1949,6,1,, ,2
1950,1,1,, ,1
1950,2,2,, ,1
1950,3,3,1, ,
1950,4,3,1, ,
1950,5,3,3, ,
1950,6,2,, ,5
1951,1,2,, ,1
1951,2,3,2, ,
1951,3,2,, ,1
1951,4,3,2, ,
1951,5,3,1, ,
1951,6,3,1, ,
1952,1,2,, ,1
1952,2,1,, ,1
1952,3,3,1, ,
1952,4,3,1, ,
1952,5,1,, ,1
1952,6,3,6, ,
1953,1,1,, ,2
1953,2,2,, ,1
1953,3,1,, ,2
1953,4,3,2, ,
1953,5,1,, ,2
1953,6,1,, ,2
1954,1,1,, ,2
1954,2,1,, ,1
