HH_Id,New_Var_Last5Yrs_Yn_M,Num_Cult_Variety_M,SL_No_M,Variety_Name_M,VarSeed_Src_M,VarSeed_Src_Othr_M,HowVar_Acquire_M,HowVar_Acquire_Othr_M,When_First_Grwn_M,Still_Grwng_Yn_M,Still_Grwng_Why_M,Still_Grwng_Why_Othr_M,NotStill_Grwng_Why_M,NotStill_Grwng_WhyOthr_M
309,1,3,1,Kubsa,3, ,4, ,2009,0,, ,5, 
309,1,3,2,Manigudo,6, ,4, ,2011,0,, ,5, 
309,1,3,3,Denidea,3, ,4, ,2012,1,6,water tolerance,, 
310,0,,, ,, ,, ,,,, ,, 
311,0,,, ,, ,, ,,,, ,, 
490,0,,, ,, ,, ,,,, ,, 
491,1,2,1,HULUKA,2, ,2, ,2010,0,, ,3, 
491,1,2,2,HIDASE,2, ,2, ,2011,1,2, ,, 
492,1,2,1,HIDASE,2, ,2, ,2010,0,, ,1, 
492,1,2,2,HULUKA,6, ,4, ,2012,1,1, ,, 
493,1,2,1,HIDASE,2, ,2, ,2010,0,, ,1, 
493,1,2,2,HULUKA,6, ,4, ,2012,1,1, ,, 
494,1,2,1,HIDASE,6, ,4, ,2011,0,, ,3, 
494,1,2,2,HULUKA,2, ,2, ,2012,1,1, ,, 
518,0,,, ,, ,, ,,,, ,, 
520,0,,, ,, ,, ,,,, ,, 
521,0,,, ,, ,, ,,,, ,, 
522,0,,, ,, ,, ,,,, ,, 
523,0,,, ,, ,, ,,,, ,, 
577,0,,, ,, ,, ,,,, ,, 
580,0,,, ,, ,, ,,,, ,, 
581,0,,, ,, ,, ,,,, ,, 
583,0,,, ,, ,, ,,,, ,, 
584,0,,, ,, ,, ,,,, ,, 
585,0,,, ,, ,, ,,,, ,, 
586,0,,, ,, ,, ,,,, ,, 
587,0,,, ,, ,, ,,,, ,, 
588,0,,, ,, ,, ,,,, ,, 
589,0,,, ,, ,, ,,,, ,, 
590,0,,, ,, ,, ,,,, ,, 
591,0,,, ,, ,, ,,,, ,, 
718,1,1,1,DANDA,3, ,4, ,2010,1,1, ,, 
719,1,1,1,DENDEA,3, ,4, ,2009,1,1, ,, 
720,0,,, ,, ,, ,,,, ,, 
721,0,,, ,, ,, ,,,, ,, 
722,1,1,1,DENDEA,3, ,4, ,2010,1,1, ,, 
723,1,1,1,KEKEBA,3, ,2, ,2011,1,1, ,, 
724,0,,, ,, ,, ,,,, ,, 
725,0,,, ,, ,, ,,,, ,, 
726,1,1,1,DENDEA,3, ,4, ,2010,1,1, ,, 
727,0,,, ,, ,, ,,,, ,, 
728,1,1,1,DENDEA,3, ,4, ,2010,1,1, ,, 
729,0,,, ,, ,, ,,,, ,, 
801,0,,, ,, ,, ,,,, ,, 
802,0,,, ,, ,, ,,,, ,, 
803,0,,, ,, ,, ,,,, ,, 
805,0,,, ,, ,, ,,,, ,, 
806,0,,, ,, ,, ,,,, ,, 
807,0,,, ,, ,, ,,,, ,, 
808,0,,, ,, ,, ,,,, ,, 
809,0,,, ,, ,, ,,,, ,, 
810,0,,, ,, ,, ,,,, ,, 
812,0,,, ,, ,, ,,,, ,, 
813,0,,, ,, ,, ,,,, ,, 
814,0,,, ,, ,, ,,,, ,, 
816,1,1,1,DENDEA,3, ,4, ,2010,1,1, ,, 
1158,1,2,1,KEKEBA,2, ,4, ,2010,0,, ,3, 
1158,1,2,2,DENDEA,2, ,4, ,2011,1,1, ,, 
1159,1,1,1,DENDEA,3, ,4, ,2010,1,1, ,, 
1163,0,,, ,, ,, ,,,, ,, 
1164,0,,, ,, ,, ,,,, ,, 
1165,0,,, ,, ,, ,,,, ,, 
1166,0,,, ,, ,, ,,,, ,, 
1167,0,,, ,, ,, ,,,, ,, 
1168,1,1,1,DANDAA,3, ,4, ,2010,1,1, ,, 
1169,0,,, ,, ,, ,,,, ,, 
1170,0,,, ,, ,, ,,,, ,, 
1171,0,,, ,, ,, ,,,, ,, 
1174,0,,, ,, ,, ,,,, ,, 
1253,0,,, ,, ,, ,,,, ,, 
1254,1,2,1,KEKEBA,6, ,4, ,2010,1,2, ,, 
1255,0,,, ,, ,, ,,,, ,, 
1257,1,1,1,KEKEBA,3, ,4, ,2009,1,2, ,, 
1258,1,2,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1259,1,3,1,PAVEL,6, ,4, ,2009,1,3, ,, 
1260,0,,, ,, ,, ,,,, ,, 
1261,0,,, ,, ,, ,,,, ,, 
1262,1,1,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1263,1,2,1,PAVEL,6, ,4, ,2009,0,, ,5, 
1263,1,2,2,KEKEBA,6, ,4, ,2011,1,2, ,, 
1264,1,2,1,KEKEBA,6, ,4, ,2010,1,2, ,, 
1265,1,1,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1266,0,,, ,, ,, ,,,, ,, 
1267,0,,, ,, ,, ,,,, ,, 
1268,0,,, ,, ,, ,,,, ,, 
1269,1,1,1,KELEBA,6, ,4, ,2011,1,2, ,, 
1336,0,,, ,, ,, ,,,, ,, 
1337,0,,, ,, ,, ,,,, ,, 
1339,0,,, ,, ,, ,,,, ,, 
1340,0,,, ,, ,, ,,,, ,, 
1341,0,,, ,, ,, ,,,, ,, 
1342,0,,, ,, ,, ,,,, ,, 
1416,0,,, ,, ,, ,,,, ,, 
1418,0,,, ,, ,, ,,,, ,, 
1420,0,,, ,, ,, ,,,, ,, 
1421,0,,, ,, ,, ,,,, ,, 
1424,0,,, ,, ,, ,,,, ,, 
1425,0,,, ,, ,, ,,,, ,, 
1430,0,,, ,, ,, ,,,, ,, 
1431,0,,, ,, ,, ,,,, ,, 
1433,0,,, ,, ,, ,,,, ,, 
1453,0,,, ,, ,, ,,,, ,, 
1454,1,2,1,Hidase,3, ,4, ,2009,0,, ,1, 
1454,1,2,2,komachare,3, ,4, ,2011,1,2, ,, 
1455,1,2,1,Denidea,3, ,4, ,2009,0,, ,5, 
1455,1,2,2,Hidase,3, ,4, ,2011,1,2, ,, 
1456,1,3,1,shorima,4, ,4, ,2009,0,, ,1, 
1456,1,3,2,Denidea,4, ,4, ,2010,0,, ,4, 
1456,1,3,3,Hidase,4, ,4, ,2012,1,2, ,, 
1458,0,,, ,, ,, ,,,, ,, 
1459,0,,, ,, ,, ,,,, ,, 
1460,0,,, ,, ,, ,,,, ,, 
1461,1,1,1,Shorima,4, ,4, ,2009,0,, ,3, 
1462,0,,, ,, ,, ,,,, ,, 
1463,1,2,1,komachare,3, ,4, ,2009,0,, ,5, 
1463,1,2,2,hidase,3, ,4, ,2011,1,2, ,, 
1464,0,,, ,, ,, ,,,, ,, 
1465,0,,, ,, ,, ,,,, ,, 
1466,0,,, ,, ,, ,,,, ,, 
1512,1,1,1,MISOMA,4, ,4, ,2009,1,1, ,, 
1514,0,,, ,, ,, ,,,, ,, 
1515,0,,, ,, ,, ,,,, ,, 
1516,0,,, ,, ,, ,,,, ,, 
1517,0,,, ,, ,, ,,,, ,, 
1518,0,,, ,, ,, ,,,, ,, 
1521,0,,, ,, ,, ,,,, ,, 
1522,0,,, ,, ,, ,,,, ,, 
1525,0,,, ,, ,, ,,,, ,, 
1526,0,,, ,, ,, ,,,, ,, 
1527,0,,, ,, ,, ,,,, ,, 
1528,0,,, ,, ,, ,,,, ,, 
1529,0,,, ,, ,, ,,,, ,, 
1530,0,,, ,, ,, ,,,, ,, 
1531,0,,, ,, ,, ,,,, ,, 
1533,0,,, ,, ,, ,,,, ,, 
1534,0,,, ,, ,, ,,,, ,, 
1535,1,1,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1536,1,2,1,KUBSA,6, ,4, ,2009,0,, ,5, 
1536,1,2,2,LEKEBA,6, ,4, ,2011,1,2, ,, 
1539,1,1,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1540,1,1,1,KEKEBA,6, ,4, ,2010,1,2, ,, 
1542,0,,, ,, ,, ,,,, ,, 
1543,1,2,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1545,0,,, ,, ,, ,,,, ,, 
1546,1,2,1,KUBSA,6, ,4, ,2009,0,, ,5, 
1546,1,2,2,KEKEBA,6, ,4, ,2010,1,2, ,, 
1548,1,2,1,DENDEA,6, ,4, ,2010,0,, ,5, 
1548,1,2,2,KEKEBA,6, ,4, ,2011,1,2, ,, 
1549,0,,, ,, ,, ,,,, ,, 
1551,1,2,1,DENDEA,6, ,4, ,2010,0,, ,3, 
1551,1,2,2,KEKEBA,6, ,4, ,2010,1,2, ,, 
1552,0,,, ,, ,, ,,,, ,, 
1553,1,1,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1554,1,2,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1556,0,,, ,, ,, ,,,, ,, 
1580,0,,, ,, ,, ,,,, ,, 
1581,0,,, ,, ,, ,,,, ,, 
1582,1,1,1,KEKEBA,6, ,4, ,2010,1,2, ,, 
1583,1,1,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1585,1,1,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1586,0,,, ,, ,, ,,,, ,, 
1587,0,,, ,, ,, ,,,, ,, 
1589,1,2,1,Kubisa,3, ,4, ,2009,0,, ,5, 
1589,1,2,2,Kakaba,3, ,4, ,2010,1,2, ,, 
1590,0,,, ,, ,, ,,,, ,, 
1591,1,2,1,Kubisa,3, ,4, ,2009,0,, ,5, 
1591,1,2,2,Kakaba,3, ,4, ,2012,1,2, ,, 
1593,0,,, ,, ,, ,,,, ,, 
1611,1,2,1,KUBSA,2, ,2, ,2011,1,1, ,, 
