HH_Id,Assets_Info,Aminity_Elec,Aminity_PipeWater,Aminity_CookGas,Aminity_Internet,Aminity_Landline,Aminity_Mobile,Aminity_PrivToilet,Aminity_RoadAcc,Aminity_StrongWalls,Aminity_ConcRoof,Aminity_ConcFloor,Aminity_Fenced,Aminity_Ownership
4047,1,0,1,0,0,0,1,1,0,0,0,0,1,1
4048,1,0,1,0,0,0,0,1,1,0,0,0,1,1
98,1,0,0,0,0,0,0,1,0,0,0,0,1,1
99,1,0,0,0,0,0,0,1,0,0,0,0,1,1
100,1,0,0,0,0,0,0,1,1,0,0,1,1,1
101,1,0,0,0,0,0,0,1,1,0,0,0,1,1
102,1,0,0,0,0,0,0,0,1,0,0,0,1,1
103,1,0,0,0,0,0,0,1,1,0,0,0,1,1
260,1,0,0,0,0,0,0,0,0,0,0,0,1,1
261,1,0,1,0,1,0,1,1,1,0,0,0,1,1
262,1,0,1,0,0,0,0,1,0,0,0,0,1,1
263,1,0,1,0,0,0,0,0,0,0,0,0,0,1
264,1,0,1,0,1,0,1,1,1,0,0,0,1,1
266,1,0,1,0,0,0,0,1,1,0,0,0,0,1
267,1,0,1,0,0,0,1,1,1,0,0,0,0,1
269,1,0,1,0,1,0,1,1,1,0,0,0,1,1
270,1,0,1,0,1,0,1,1,0,0,0,0,0,1
271,1,0,0,0,0,0,0,1,1,0,0,0,0,1
272,1,0,1,0,1,0,1,1,1,0,0,0,1,1
273,1,0,0,0,0,0,1,0,0,0,0,0,0,1
275,1,0,0,0,0,0,1,1,1,0,0,0,1,1
276,1,0,1,0,0,0,1,0,1,0,0,0,0,1
277,1,0,1,0,0,0,0,1,1,0,0,0,1,1
278,1,0,1,0,1,0,1,1,1,0,0,0,1,1
279,1,0,1,0,1,0,1,1,1,0,0,0,1,1
280,1,0,0,0,0,0,1,1,0,0,0,0,1,1
281,1,0,0,0,0,0,0,1,1,0,0,0,0,1
282,1,0,0,0,0,0,0,1,0,0,0,0,1,1
283,1,0,0,0,0,0,1,1,1,0,0,0,0,1
285,1,0,1,0,1,0,1,1,1,0,0,1,1,1
286,1,0,0,0,0,0,1,1,1,0,0,0,1,1
287,1,0,1,0,1,0,1,1,1,0,0,0,1,1
289,1,0,1,0,1,0,1,1,1,0,0,0,1,1
290,1,0,1,0,1,0,1,1,1,0,0,0,1,1
292,1,0,1,0,1,0,1,1,1,0,0,0,1,1
293,1,0,1,0,1,0,1,1,1,0,0,0,1,1
295,1,0,1,0,0,0,1,1,1,0,0,0,1,1
296,1,0,1,0,0,0,1,0,1,0,0,0,1,1
297,1,0,1,0,0,0,0,0,1,0,0,0,1,1
299,1,0,0,0,1,0,1,1,1,0,0,0,1,1
301,1,0,1,0,0,0,1,1,1,0,0,0,1,1
302,1,0,1,0,0,0,1,1,1,0,0,0,1,1
303,1,0,1,0,0,0,0,0,1,0,0,0,1,1
304,1,0,0,0,1,0,1,0,1,0,0,0,1,1
305,1,0,1,0,0,0,0,1,1,0,0,0,1,1
307,1,0,1,0,0,0,0,0,1,0,0,0,1,1
308,1,0,1,1,0,0,1,1,1,0,0,0,1,1
309,1,0,1,0,0,0,0,0,1,0,0,0,1,1
310,1,0,1,0,0,0,1,1,1,0,0,0,1,1
311,1,0,0,0,0,0,0,1,1,0,0,0,1,1
490,1,0,0,0,0,0,0,1,1,0,0,0,1,1
491,1,0,0,0,0,0,0,1,0,0,0,0,1,1
492,1,0,0,0,0,0,0,1,0,0,0,0,1,1
493,1,0,0,0,0,0,0,1,1,0,0,0,1,1
494,1,0,0,0,0,0,0,1,1,0,0,0,1,1
518,1,0,0,0,0,0,0,1,1,0,0,0,0,1
520,1,0,0,0,0,0,0,1,0,0,0,0,0,1
521,1,0,0,0,0,0,0,1,0,0,0,0,0,1
522,1,0,1,0,0,0,0,0,0,1,1,0,0,1
523,1,0,0,0,0,0,0,1,0,0,0,0,0,1
577,1,0,1,0,1,0,1,1,1,0,0,0,1,1
580,1,0,1,0,1,0,1,1,1,0,0,0,1,1
581,1,0,1,0,1,0,1,1,1,0,0,0,1,1
583,1,0,1,0,1,0,1,0,1,0,0,0,1,1
584,1,0,1,0,1,0,1,1,1,0,0,0,1,1
585,1,0,1,0,1,0,1,1,1,0,0,0,1,1
586,1,0,1,0,1,0,1,1,1,0,0,0,1,1
587,1,0,1,0,1,0,1,1,1,0,0,0,1,1
588,1,0,1,0,1,0,1,1,1,0,0,0,1,1
589,1,1,1,0,1,0,1,1,1,0,0,0,1,1
590,1,0,1,0,1,0,1,1,1,0,0,0,1,1
591,1,0,1,0,1,0,1,1,1,0,0,0,1,1
718,1,0,0,0,0,0,0,1,0,0,0,0,0,1
719,1,0,0,0,0,0,1,1,0,0,0,0,1,1
720,1,0,0,0,1,0,1,1,1,0,0,0,1,1
721,1,0,0,0,1,0,1,1,1,0,0,0,1,1
722,1,0,0,0,0,0,0,1,1,0,0,0,1,1
723,1,0,0,0,0,0,1,1,1,0,0,0,1,1
724,1,0,0,0,0,0,1,1,1,0,0,0,0,1
725,1,0,0,0,1,0,1,1,1,0,0,0,1,1
726,1,0,0,0,0,0,1,1,1,0,0,0,1,1
727,1,0,0,0,1,0,1,1,1,0,0,0,1,1
728,1,0,0,0,0,0,0,1,1,0,0,0,1,1
729,1,0,0,0,1,0,1,1,1,0,0,0,1,1
801,1,0,0,0,0,0,1,1,0,0,0,0,0,1
802,1,0,1,0,1,0,1,1,1,0,0,0,1,1
803,1,0,1,0,1,0,1,1,1,0,0,0,1,1
805,1,0,0,0,0,0,1,1,0,0,0,0,0,1
806,1,0,1,0,1,0,1,1,1,0,0,0,1,1
807,1,0,0,0,0,0,1,1,1,0,0,0,0,1
808,1,0,0,0,1,0,1,1,1,0,0,0,1,1
809,1,0,0,0,1,0,1,1,1,1,0,0,1,1
810,1,0,0,0,1,0,1,1,1,0,0,0,1,1
812,1,1,0,0,0,0,0,0,1,0,0,0,0,1
813,1,0,0,0,1,0,1,1,1,0,0,0,0,1
814,1,1,0,0,0,0,1,1,0,0,0,0,0,1
816,1,0,0,0,0,0,1,1,0,0,0,0,1,1
1158,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1159,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1163,1,1,1,0,1,0,1,1,1,0,0,0,1,1
1164,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1165,1,0,1,0,1,0,1,0,1,0,0,0,1,1
1166,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1167,1,0,1,0,0,0,1,1,0,0,0,0,0,1
