HH_Id,HH_Member_Roster,HH_Member_Id,HH_Member_Name,HH_Mem_Gender,HH_Mem_Age,HHH_Reln,Marital_Status,Primary_Occpn,Primary_Occpn_Othr,Month_Worked,Working_Hrs_Week,Sec_Occpn,Sec_Occpn_Othr,Month_Worked,Working_Hrs_Week,Read_Write_Yn,Education,Education_Othr,Decision_Involvment
1055,4,3,Removed,2,20,3,1,2, ,10,56,99, ,,,1,9, ,2
1055,4,4,Removed,1,17,3,2,1, ,12,70,99, ,,,1,8, ,1
1056,2,1,Removed,1,51,0,4,2, ,7,48,1, ,12,32,0,0, ,3
1056,2,2,Removed,2,25,3,2,2, ,8,56,99, ,,,1,7, ,3
1057,3,1,Removed,2,61,1,1,2, ,12,84,99, ,,,0,0, ,3
1057,3,2,Removed,1,35,2,1,1, ,12,70,2, ,4,35,0,0, ,2
1057,3,3,Removed,2,30,3,3,10, ,,,2, ,4,28,1,11, ,1
1058,4,1,Removed,2,36,1,1,2, ,7,48,99, ,,,0,0, ,3
1058,4,2,Removed,1,36,2,1,1, ,12,40,2, ,5,32,0,0, ,2
1058,4,3,Removed,2,18,3,2,10, ,,,2, ,6,32,1,11, ,2
1058,4,4,Removed,1,15,3,2,10, ,,,2, ,4,32,1,9, ,1
1059,2,1,Removed,2,35,1,1,2, ,10,40,99, ,,,0,0, ,3
1059,2,2,Removed,1,29,2,1,1, ,12,70,2, ,4,24,0,0, ,2
1060,5,1,Removed,2,48,1,1,2, ,12,50,99, ,,,0,0, ,3
1060,5,2,Removed,1,45,2,1,1, ,12,70,2, ,5,25,0,0, ,2
1060,5,3,Removed,2,20,2,3,11, ,,,99, ,,,1,8, ,1
1060,5,4,Removed,2,18,3,3,2, ,12,50,99, ,,,1,6, ,1
1060,5,5,Removed,1,16,3,3,10, ,,,1, ,5,30,1,9, ,1
1117,2,1,Removed,2,42,1,1,2, ,8,48,99, ,,,0,0, ,3
1117,2,2,Removed,1,35,2,1,1, ,12,38,2, ,4,32,0,0, ,2
1118,3,1,Removed,1,41,0,4,2, ,8,56,1, ,4,28,0,0, ,4
1118,3,2,Removed,1,18,3,2,10, ,,,1, ,12,28,1,10, ,2
1118,3,3,Removed,2,16,3,2,10, ,,,2, ,4,28,1,8, ,1
1120,3,1,Removed,2,43,1,1,2, ,7,40,8, ,5,32,1,10, ,3
1120,3,2,Removed,1,35,2,1,1, ,12,38,2, ,4,32,0,0, ,2
1120,3,3,Removed,1,16,3,2,10, ,,,2, ,4,32,1,8, ,2
1121,3,1,Removed,2,41,1,1,2, ,9,36,99, ,,,0,0, ,3
1121,3,2,Removed,1,35,2,1,1, ,12,36,2, ,5,24,0,0, ,2
1121,3,3,Removed,2,15,3,2,10, ,,,99, ,,,1,6, ,1
1122,4,1,Removed,2,38,1,1,2, ,6,50,8, ,6,120,1,10, ,3
1122,4,2,Removed,2,35,2,1,1, ,12,84,2, ,4,32,0,0, ,2
1122,4,3,Removed,1,20,3,2,10, ,,,99, ,,,1,11, ,1
1122,4,4,Removed,1,16,3,2,10, ,,,1, ,6,25,1,7, ,1
1124,2,1,Removed,1,36,0,3,2, ,10,40,1, ,12,25,0,0, ,4
1124,2,2,Removed,1,16,3,2,10, ,,,1, ,12,25,1,8, ,2
1127,3,1,Removed,2,62,1,1,2, ,10,60,99, ,,,0,0, ,3
1127,3,2,Removed,1,55,2,1,1, ,12,80,2, ,5,25,0,0, ,2
1127,3,3,Removed,2,19,3,2,10, ,,,2, ,5,30,1,11, ,1
1131,3,1,Removed,2,44,1,1,2, ,11,27,7, ,12,36,0,0, ,3
1131,3,2,Removed,1,32,2,1,1, ,12,54,2, ,5,20,0,0, ,1
1131,3,3,Removed,2,15,3,2,10, ,,,99, ,,,1,4, ,1
1344,2,1,Removed,2,32,1,1,2, ,9,48,99, ,,,1,10, ,3
1344,2,2,Removed,1,30,2,1,1, ,12,30,2, ,5,24,1,9, ,2
1346,2,1,Removed,2,58,1,1,2, ,10,55,99, ,,,1,8, ,3
1346,2,2,Removed,1,40,2,1,1, ,12,65,4, ,6,25,0,0, ,2
1347,2,1,Removed,1,50,0,4,2, ,6,24,1, ,6,20,0,0, ,4
1347,2,2,Removed,1,18,4,2,10, ,,,1, ,12,28,1,8, ,1
1349,3,1,Removed,2,32,1,1,2, ,10,45,99, ,,,1,5, ,3
1349,3,2,Removed,1,38,2,1,1, ,12,70,2, ,6,30,0,0, ,2
1349,3,3,Removed,1,17,3,2,10, ,,,1, ,5,25,1,8, ,1
1350,7,1,Removed,2,59,1,1,2, ,8,32,4, ,3,18,0,0, ,3
1350,7,2,Removed,1,50,2,1,1, ,12,21,2, ,2,12,1,3, ,2
1350,7,3,Removed,2,24,3,2,2, ,2,32,99, ,,,1,4, ,1
1350,7,4,Removed,1,22,3,2,1, ,12,28,99, ,,,1,10, ,1
1350,7,5,Removed,1,20,3,2,1, ,12,14,99, ,,,1,7, ,1
1350,7,6,Removed,2,18,3,2,2, ,6,32,99, ,,,1,9, ,1
1350,7,7,Removed,1,16,3,2,10, ,,,2, ,3,16,1,9, ,1
1352,3,1,Removed,2,38,1,1,2, ,12,56,99, ,,,1,8, ,4
