HH_Id,HH_Activity_M,Activity_Part_M,Decision_maker_Actvty_M,Influence_Decision_Actvty_M,Own_Decision_Actvty_M
1058,6,1,2,3,3
1058,7,1,2,3,3
1059,1,1,5,3,3
1059,2,1,5,3,3
1059,3,1,5,3,3
1059,4,1,5,3,3
1059,5,1,5,3,3
1059,6,1,5,3,3
1059,7,1,5,3,3
1060,1,1,5,3,4
1060,2,1,5,3,3
1060,3,1,5,3,3
1060,4,1,5,3,3
1060,5,1,5,3,3
1060,6,1,5,3,3
1060,7,1,5,3,3
1117,1,1,2,3,4
1117,2,1,2,3,4
1117,3,1,2,3,4
1117,4,1,1,3,4
1117,5,1,2,3,4
1117,6,1,2,3,4
1117,7,1,2,3,4
1118,,,,,
1120,1,1,2,3,4
1120,2,1,2,3,4
1120,3,1,2,3,4
1120,4,1,2,3,4
1120,5,1,2,3,4
1120,6,1,2,3,4
1120,7,1,2,3,4
1121,1,1,1,3,3
1121,2,1,1,3,3
1121,3,1,1,3,3
1121,4,1,1,3,3
1121,5,1,1,3,3
1121,6,1,1,3,3
1121,7,1,1,3,3
1122,1,1,5,2,3
1122,2,1,5,3,3
1122,3,1,5,3,3
1122,4,1,5,3,3
1122,5,1,5,3,3
1122,6,1,5,3,3
1122,7,1,5,3,3
1124,,,,,
1127,1,1,5,3,3
1127,2,1,5,3,3
1127,3,1,5,3,3
1127,4,1,5,3,3
1127,5,1,5,3,3
1127,6,1,5,3,3
1127,7,1,5,3,3
1131,1,1,1,3,4
1131,2,1,1,3,4
1131,3,1,1,3,3
1131,4,1,1,3,4
1131,5,1,1,3,3
1131,6,1,1,3,4
1131,7,1,1,3,4
1344,1,1,1,3,3
1344,2,1,1,3,3
1344,3,1,1,3,3
1344,4,1,1,3,3
1344,5,1,1,3,3
1344,6,1,1,3,3
1344,7,1,1,3,3
1346,1,1,1,3,3
1346,2,1,1,3,3
1346,3,1,1,3,4
1346,4,1,1,3,3
1346,5,1,1,3,4
1346,6,1,1,3,3
1346,7,1,1,3,3
1347,,,,,
1349,1,1,5,3,3
1349,2,1,5,3,3
1349,3,1,5,3,3
1349,4,1,5,3,3
1349,5,1,5,3,4
1349,6,1,5,3,3
1349,7,1,5,3,3
1350,1,1,5,3,3
1350,2,1,5,3,3
1350,3,1,5,3,3
1350,4,1,5,3,3
1350,5,1,5,3,3
1350,6,1,5,3,3
1350,7,1,5,3,3
1352,1,1,1,3,4
1352,2,1,5,2,3
1352,3,1,5,2,3
1352,4,1,5,2,3
1352,5,1,5,2,3
1352,6,1,5,2,3
1352,7,1,5,2,3
1354,1,1,1,3,1
1354,2,1,1,3,1
1354,3,1,1,3,1
1354,4,1,1,3,1
1354,5,1,1,3,1
1354,6,1,1,3,1
1354,7,1,1,3,3
1356,1,1,2,3,3
1356,2,1,2,3,3
1356,3,1,2,3,4
1356,4,1,2,3,3
1356,5,1,2,3,4
1356,6,1,2,3,3
1356,7,1,2,3,4
1357,1,1,5,3,4
1357,2,1,5,3,3
1357,3,1,5,3,3
1357,4,1,5,3,3
1357,5,1,5,3,3
1357,6,1,5,3,3
1357,7,1,5,3,3
1358,1,1,5,2,3
1358,2,1,5,2,3
1358,3,1,5,2,3
1358,4,1,5,2,3
1358,5,1,5,2,3
1358,6,1,5,2,3
1358,7,1,5,2,3
1359,1,1,1,3,4
1359,2,1,1,3,3
1359,3,1,1,3,4
1359,4,1,1,3,3
1359,5,1,1,3,3
1359,6,1,1,3,3
1359,7,1,1,3,3
1379,1,1,5,2,3
1379,2,1,5,2,3
1379,3,1,5,2,3
1379,4,1,5,2,3
1379,5,1,5,2,3
1379,6,1,5,2,3
1379,7,1,5,2,3
1380,1,1,1,3,4
1380,2,1,1,3,4
1380,3,1,1,3,4
1380,4,1,1,3,4
1380,5,1,1,3,4
1380,6,1,1,3,4
1380,7,1,1,3,4
1381,,,,,
1382,1,1,2,3,4
1382,2,1,2,3,3
1382,3,1,2,3,4
1382,4,1,2,3,4
1382,5,1,2,3,3
1382,6,1,2,3,4
1382,7,1,2,3,3
1383,1,1,98,,
1383,2,1,5,2,3
1383,3,1,5,2,3
1383,4,1,5,2,3
1383,5,1,5,2,3
1383,6,1,5,2,3
1383,7,1,5,2,3
1385,1,1,1,2,2
1385,2,0,,,
1385,3,0,,,
1385,4,0,,,
1385,5,0,,,
1385,6,0,,,
1385,7,0,,,
1386,1,1,1,3,3
1386,2,1,1,3,4
1386,3,1,1,3,4
1386,4,1,1,3,4
1386,5,1,1,3,4
1386,6,1,1,3,3
1386,7,1,1,3,3
1387,1,1,1,3,4
1387,2,1,1,3,4
1387,3,1,1,3,4
1387,4,1,1,3,4
1387,5,1,1,3,4
1387,6,1,1,3,4
1387,7,1,1,3,4
1388,1,1,1,4,4
1388,2,1,1,4,4
1388,3,1,5,3,4
1388,4,1,1,4,4
1388,5,1,5,3,3
1388,6,1,5,3,3
1388,7,1,5,3,4
1390,1,1,1,3,3
1390,2,1,1,3,3
1390,3,1,1,3,3
1390,4,1,1,3,3
1390,5,1,1,3,3
1390,6,1,1,3,3
1390,7,1,1,3,3
1391,,,,,
1393,1,0,,,
1393,2,0,,,
1393,3,0,,,
1393,4,0,,,
1393,5,0,,,
1393,6,0,,,
1393,7,0,,,
1394,1,1,1,3,4
1394,2,1,1,3,3
1394,3,1,1,3,4
1394,4,1,1,3,4
1394,5,1,1,3,3
1394,6,1,1,3,3
1394,7,1,1,3,3
1396,1,1,1,3,3
1396,2,1,1,3,4
1396,3,1,1,3,3
1396,4,1,1,3,3
1396,5,1,1,3,3
1396,6,1,1,3,3
1396,7,1,1,3,2
1397,1,1,5,3,3
1397,2,1,5,3,3
1397,3,1,5,3,3
1397,4,1,5,3,3
1397,5,1,5,3,3
1397,6,1,5,3,3
1397,7,1,5,3,3
1398,1,1,1,3,3
1398,2,1,1,3,3
1398,3,1,1,3,3
1398,4,1,1,3,3
1398,5,1,1,3,3
1398,6,1,1,3,3
1398,7,1,1,3,3
1399,1,1,2,3,4
1399,2,1,2,3,3
1399,3,1,2,3,4
1399,4,1,2,3,4
1399,5,1,2,3,4
1399,6,1,2,3,4
1399,7,1,2,2,3
1400,1,1,2,3,3
1400,2,1,2,3,3
1400,3,1,2,3,3
1400,4,1,2,3,3
1400,5,1,2,3,3
1400,6,1,2,3,3
1400,7,1,2,3,3
1502,1,1,5,2,4
1502,2,1,5,2,4
1502,3,1,5,2,4
1502,4,1,5,2,4
1502,5,1,5,2,4
1502,6,1,5,2,3
1502,7,1,5,2,3
1504,,,,,
1505,1,1,2,3,3
1505,2,1,2,3,3
1505,3,1,2,3,3
1505,4,1,2,3,3
1505,5,1,2,2,3
1505,6,1,2,3,4
1505,7,1,2,3,3
1506,1,1,2,3,3
1506,2,1,2,3,4
1506,3,1,2,3,4
1506,4,1,2,3,3
1506,5,1,2,3,3
1506,6,1,2,3,3
1506,7,1,2,2,4
1507,1,1,5,2,4
1507,2,1,5,2,3
1507,3,1,5,2,3
1507,4,1,5,2,3
1507,5,1,5,2,3
1507,6,1,5,2,3
1507,7,1,5,2,3
1508,1,1,5,3,4
1508,2,1,5,3,3
1508,3,1,5,3,3
1508,4,1,5,3,3
1508,5,1,5,3,3
1508,6,1,5,3,3
1508,7,1,5,3,3
1509,1,1,5,3,3
1509,2,1,5,3,3
1509,3,1,1,3,3
1509,4,1,5,3,3
1509,5,1,5,3,3
1509,6,1,1,3,3
1509,7,1,5,3,3
1559,1,1,2,3,3
1559,2,1,2,2,3
1559,3,1,2,3,3
1559,4,1,2,3,3
1559,5,1,2,3,3
1559,6,1,2,3,3
1559,7,1,2,3,3
1561,1,1,2,2,3
1561,2,1,2,3,3
1561,3,1,2,3,3
1561,4,1,2,3,3
1561,5,1,2,3,3
1561,6,1,2,3,3
1561,7,1,2,3,3
1562,1,1,1,3,3
1562,2,1,5,3,3
1562,3,1,5,3,3
1562,4,1,5,3,3
1562,5,0,,,
1562,6,0,,,
1562,7,1,5,3,3
1563,1,1,1,3,3
1563,2,1,1,3,3
1563,3,1,1,3,3
1563,4,1,1,3,3
1563,5,1,1,3,3
1563,6,1,1,3,3
1563,7,1,1,3,3
1895,1,1,1,3,4
1895,2,1,1,3,4
1895,3,1,1,3,4
1895,4,1,1,3,4
1895,5,1,1,3,3
1895,6,1,1,3,3
1895,7,1,5,3,3
1897,1,1,1,3,3
1897,2,1,1,3,3
1897,3,1,1,3,3
1897,4,1,1,3,3
1897,5,1,1,3,3
1897,6,1,1,3,3
1897,7,1,1,3,3
1899,1,1,5,3,3
1899,2,1,5,3,3
1899,3,1,5,3,3
1899,4,1,5,3,3
1899,5,1,5,3,3
1899,6,1,5,3,3
1899,7,1,5,3,3
1923,1,1,1,3,3
1923,2,1,5,3,3
1923,3,1,1,3,4
1923,4,1,5,3,3
1923,5,0,,,
1923,6,0,,,
1923,7,1,5,3,3
1925,1,1,5,3,3
1925,2,1,5,3,3
1925,3,1,5,3,3
1925,4,1,5,3,3
1925,5,1,5,3,3
1925,6,1,5,3,3
1925,7,1,5,3,3
1926,1,1,1,3,3
1926,2,1,5,3,3
1926,3,1,5,3,3
1926,4,1,1,3,4
1926,5,1,5,3,3
1926,6,0,,,
1926,7,0,,,
1930,1,1,5,2,3
1930,2,1,5,2,3
1930,3,1,5,2,3
1930,4,1,5,2,3
1930,5,1,5,2,3
1930,6,1,5,2,3
1930,7,1,5,2,3
1931,1,1,5,3,3
1931,2,1,5,3,3
1931,3,1,5,3,3
1931,4,1,5,3,3
1931,5,1,5,3,4
1931,6,1,5,3,3
1931,7,1,5,3,3
1932,1,0,,,
1932,2,1,2,3,3
1932,3,1,2,3,3
1932,4,1,2,3,3
1932,5,1,2,3,3
1932,6,1,2,3,3
1932,7,1,2,3,3
1933,1,1,2,3,3
1933,2,1,2,3,3
1933,3,1,2,3,3
1933,4,1,2,3,3
1933,5,1,2,3,3
1933,6,1,2,3,3
1933,7,1,2,3,3
1934,1,1,1,3,3
1934,2,1,1,3,3
1934,3,1,1,3,3
1934,4,1,1,3,3
1934,5,1,1,3,3
1934,6,1,1,3,3
1934,7,1,1,3,3
1935,1,1,1,3,3
1935,2,1,1,3,3
1935,3,1,1,3,3
1935,4,1,1,3,3
1935,5,1,1,3,3
1935,6,1,1,3,3
1935,7,1,1,3,3
1936,,,,,
1938,1,1,5,3,3
1938,2,1,5,3,3
1938,3,1,5,3,3
1938,4,1,5,3,3
1938,5,1,5,3,3
1938,6,1,5,3,3
1938,7,1,5,3,3
1942,,,,,
1944,1,1,5,3,3
1944,2,1,5,2,3
1944,3,1,5,3,4
